job_id,hacky_job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
93,930,87cf57,1232.009499,1,420.000000,1,1232.009499,279.990000,1511.999499,0.000000,279.990000,1.000000,26599.050000,31
94,940,87cf57,1232.960198,2,212.000000,1,1347.104494,140.950000,1488.054494,114.144296,255.094296,1.809821,26780.500000,14-15
95,950,87cf57,1246.913575,1,420.000000,1,1326.427494,279.990000,1606.417494,79.513920,359.503920,1.283988,26599.050000,30
96,960,87cf57,1267.059563,1,580.000000,1,1511.999499,386.480000,1898.479499,244.939936,631.419936,1.633771,36715.600000,31
97,970,87cf57,1273.071750,1,70.000000,1,1312.217478,9.257000,1321.474478,39.145728,48.402728,5.228770,879.415000,0
98,980,87cf57,1287.153042,1,70.000000,1,1312.217478,9.257000,1321.474478,25.064436,34.321436,3.707620,879.415000,1
99,990,87cf57,1300.470870,8,141.000000,1,2144.251494,80.710000,2224.961494,843.780625,924.490625,11.454474,61339.600000,14-17 28-31
100,1000,87cf57,1319.818494,2,67.000000,1,1319.818494,6.609000,1326.427494,0.000000,6.609000,1.000000,1255.710000,17 30
101,1010,87cf57,1325.567043,4,436.000000,1,2171.383478,290.530000,2461.913478,845.816436,1136.346436,3.911288,110401.400000,0-1 5-6
102,1020,87cf57,1341.518732,2,212.000000,1,1778.584494,140.950000,1919.534494,437.065763,578.015763,4.100857,26780.500000,14-15
103,1030,87cf57,1353.108822,2,891.000000,1,2117.947478,593.590000,2711.537478,764.838657,1358.428657,2.288497,112782.100000,25-26
104,1040,87cf57,1366.915882,2,891.000000,1,2171.383478,593.590000,2764.973478,804.467596,1398.057596,2.355258,112782.100000,8 13
105,1050,87cf57,1377.328638,1,420.000000,1,1606.417494,279.990000,1886.407494,229.088856,509.078856,1.818204,26599.050000,30
106,1060,87cf57,1390.015051,8,269.000000,1,2224.961494,179.080000,2404.041494,834.946444,1014.026444,5.662422,136100.800000,14-17 28-31
107,1070,87cf57,1414.990001,2,87.000000,1,1414.990001,26.481000,1441.471001,0.000000,26.481000,1.000000,5031.390000,28-29
108,1080,87cf57,1425.000570,2,399.000000,1,2404.041494,265.800000,2669.841494,979.040924,1244.840924,4.683374,50502.000000,14-15
109,1090,87cf57,1438.958996,1,420.000000,1,2404.041494,279.990000,2684.031494,965.082498,1245.072498,4.446846,26599.050000,16
110,1100,87cf57,1455.406549,2,891.000000,1,2404.041494,593.590000,2997.631494,948.634945,1542.224945,2.598132,112782.100000,17 28
111,1110,87cf57,1473.932827,4,77.000000,1,1966.827478,16.684000,1983.511478,492.894651,509.578651,30.542954,6339.920000,0-1 8 13
112,1120,87cf57,1475.446245,16,86.000000,1,3213.457478,25.905000,3239.362478,1738.011233,1763.916233,68.091729,39375.600000,0-1 5-6 8 13-17 25-26 28-31
113,1130,87cf57,1488.743081,4,436.000000,1,2461.913478,290.530000,2752.443478,973.170398,1263.700398,4.349638,110401.400000,0-1 5-6
114,1140,87cf57,1500.954053,1,70.000000,1,1612.904494,9.257000,1622.161494,111.950441,121.207441,13.093598,879.415000,0
115,1150,87cf57,1515.130054,2,891.000000,1,2404.041494,593.590000,2997.631494,888.911440,1482.501440,2.497518,112782.100000,29-30
116,1160,87cf57,1530.643048,1,149.000000,1,1778.584494,88.510000,1867.094494,247.941446,336.451446,3.801282,8408.450000,28
117,1170,87cf57,1546.886239,1,580.000000,1,2404.041494,386.480000,2790.521494,857.155255,1243.635255,3.217852,36715.600000,31
118,1180,87cf57,1559.885043,4,228.000000,1,1983.511478,151.940000,2135.451478,423.626435,575.566435,3.788117,57737.200000,0-1 8 13
119,1190,87cf57,1568.282853,1,70.000000,1,1612.904494,9.257000,1622.161494,44.621641,53.878641,5.820313,879.415000,1
