time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
2140.7,1,0,0,16,15
2140.7,1,0,0,0,31
2236.26,1,0,0,16,15
2236.26,1,0,0,12,19
2236.26,1,0,0,10,21
2236.26,1,0,0,8,23
2236.26,1,0,0,6,25
2236.26,1,0,0,4,27
2236.26,1,0,0,2,29
2236.26,1,0,0,1,30
2236.26,1,0,1,0,30
2242.36,2,0,0,0,30
2242.87,2,0,0,2,28
2242.87,2,0,0,1,29
2242.87,2,0,1,0,29
2248.97,3,0,0,0,29
2249,2,1,0,0,29
2253.2,2,1,0,1,28
2253.2,2,1,0,0,29
2254.04,2,1,0,2,27
2274.1,2,1,0,1,28
2280,2,1,1,0,28
2286.1,3,1,0,0,28
2293.72,3,1,0,2,26
2293.72,3,1,0,4,24
2293.72,3,1,0,0,28
2298.34,3,1,0,2,26
2298.34,3,1,0,4,24
2298.34,3,1,1,3,24
2299.52,3,1,1,5,22
2299.52,3,1,1,7,20
2301.22,3,1,1,5,22
2304.44,4,1,0,5,22
2313.92,4,1,0,4,23
2323.95,4,1,0,8,19
2330.61,4,1,0,0,27
2340.18,4,1,0,8,19
2340.18,4,1,2,6,19
2346.28,6,1,0,6,19
2363.3,6,1,0,8,17
2363.3,6,1,0,0,25
2377.21,6,1,0,2,23
2377.21,6,1,0,0,25
2400.52,6,0,0,1,25
2403.69,6,0,0,3,23
2403.69,6,0,0,1,25
2403.69,6,0,1,0,25
2409.79,7,0,0,0,25
2410.3,7,0,0,2,23
2410.3,7,0,1,1,23
2416.4,8,0,0,1,23
2444.01,8,0,0,9,15
2444.01,8,0,0,1,23
2444.01,8,0,1,0,23
2445.66,8,0,1,4,19
2445.66,8,0,1,0,23
2450.11,9,0,0,0,23
2453.58,9,0,0,8,15
2453.58,9,0,0,4,19
2459.23,7,2,0,4,19
2460,6,3,0,4,19
2462.35,6,3,0,8,15
2462.35,6,3,0,0,23
2511.15,6,3,0,8,15
2511.15,6,3,0,0,23
2516.25,6,3,0,1,22
2520,4,5,0,1,22
2526.39,4,5,0,0,23
2536.55,3,6,0,0,23
2541.27,3,6,0,4,19
2541.27,3,6,0,2,21
2541.27,3,6,0,0,23
2554.09,3,6,0,1,22
2554.09,3,6,0,0,23
2559.95,3,6,0,8,15
2559.95,3,6,0,6,17
2559.95,3,6,0,2,21
2562.48,3,6,0,1,22
2563.34,3,6,0,2,21
2566.56,3,6,0,4,19
2571.73,3,6,0,5,18
2578.74,3,6,0,1,22
2595.42,3,6,0,5,18
2595.88,3,6,0,9,14
2604.28,3,6,0,7,16
2610.75,3,4,0,9,16
2611.52,3,3,0,10,16
2614.99,3,3,0,8,18
2618.28,3,3,0,6,20
2624.89,3,3,0,8,18
2629.35,3,3,0,9,17
2639.68,3,3,0,10,16
2650.01,3,3,0,6,20
2655.28,3,3,0,2,24
2666.36,3,3,0,4,22
2666.7,3,3,0,8,18
2670.31,3,3,0,10,16
2670.31,3,3,0,12,14
2670.31,3,3,0,10,16
2671.52,3,1,0,12,16
2671.97,3,1,0,16,12
2671.97,3,1,0,0,28
2677.07,3,1,0,2,26
2677.07,3,1,0,0,28
2682.22,3,1,0,2,26
2682.31,3,1,0,18,10
2682.31,3,1,0,14,14
2682.31,3,1,0,6,22
2682.31,3,1,0,4,24
2688.07,3,0,0,5,24
2688.07,3,0,5,0,24
2694.17,8,0,0,0,24
2700,7,1,0,0,24
2700.4,7,1,0,1,23
2723,5,3,0,1,23
2739.6,3,5,0,1,23
2760,1,7,0,1,23
2791.96,0,8,0,1,23
2818.09,0,8,0,0,24
2823.26,0,8,0,2,22
2823.26,0,8,0,0,24
2827.34,0,8,0,1,23
2829.85,0,8,0,3,21
2829.87,0,8,0,5,19
2851.52,0,7,0,6,19
2861.39,0,7,0,14,11
2861.39,0,7,0,6,19
2874.52,0,5,0,8,19
2874.52,0,5,0,0,27
2876.85,0,5,0,8,19
2876.85,0,5,0,6,21
2876.85,0,5,0,4,23
2876.85,0,5,0,2,25
2876.85,0,5,0,0,27
2883.46,0,5,0,2,25
2883.46,0,5,0,4,23
2883.46,0,5,0,3,24
2883.46,0,5,0,2,25
2883.46,0,5,0,1,26
2883.46,0,5,1,0,26
2889.56,1,5,0,0,26
2891.12,1,3,0,2,26
2891.12,1,3,0,0,28
2903.33,1,3,0,2,26
2903.33,1,3,0,1,27
2911.52,1,1,0,3,27
2911.52,1,1,0,1,29
2912.87,1,1,0,2,28
2912.87,1,1,0,0,30
2919.48,1,1,0,2,28
2919.48,1,1,0,1,29
2923.9,1,1,0,0,30
2933.15,1,1,0,1,29
2939.94,1,1,0,0,30
2942.1,1,1,0,8,22
2942.1,1,1,0,4,26
2942.1,1,1,2,2,26
2943.48,1,0,2,3,26
2943.48,1,0,5,0,26
2944.59,0,1,5,0,26
2948.2,2,1,3,0,26
2948.2,1,2,3,0,26
2949.58,4,2,0,0,26
2949.58,3,3,0,0,26
2972.84,3,3,0,4,22
2972.84,3,3,0,3,23
2972.84,3,3,0,2,24
2972.84,3,3,0,0,26
2991.84,3,3,0,1,25
3017.8,3,3,0,3,23
3052.47,3,3,0,5,21
3052.47,3,3,2,3,21
3058.57,5,3,0,3,21
3061.35,5,3,0,4,20
3061.35,5,3,0,0,24
3096.11,5,2,0,1,24
3097.29,5,2,0,5,20
3097.29,5,2,0,3,22
3099.72,5,1,0,4,22
3099.72,5,1,0,0,26
3101.1,5,0,0,1,26
3103.72,5,0,0,5,22
3103.72,5,0,1,4,22
3109.82,6,0,0,4,22
3113.79,6,0,0,6,20
3120,5,1,0,6,20
3127.07,5,1,0,5,21
3134.86,5,1,0,7,19
3136.33,5,1,0,8,18
3136.33,5,1,0,0,26
3150.53,4,2,0,0,26
3156.92,4,2,0,2,24
3156.92,4,2,0,0,26
3159.37,4,2,0,2,24
3159.37,4,2,0,0,26
3163.45,4,2,0,1,25
3163.45,4,2,0,0,26
3185.13,4,2,0,8,18
3185.13,4,2,0,6,20
3185.13,4,2,0,2,24
3185.13,4,2,0,0,26
3232.63,4,2,0,4,22
3232.63,4,2,0,3,23
3251.96,4,2,0,4,22
3251.96,4,2,1,3,22
3258.06,5,2,0,3,22
3263.9,5,2,0,5,20
3263.9,5,2,0,1,24
3267.9,5,2,0,5,20
3267.9,5,2,0,3,22
3267.9,5,2,0,1,24
3267.9,5,2,0,0,25
3269.94,5,2,0,1,24
3269.94,5,2,0,2,23
3269.94,5,2,0,0,25
3270.66,5,2,0,2,23
3270.66,5,2,0,0,25
3271.52,5,1,0,1,25
3272.82,5,1,0,5,21
3275.55,5,1,0,3,23
3277.15,5,1,0,4,22
3277.27,5,1,0,6,20
3288.97,5,1,0,2,24
3292.96,5,1,0,6,20
3296.93,5,1,0,4,22
3300,5,1,2,2,22
3302.05,5,0,2,3,22
3302.05,5,0,5,0,22
3305.96,5,0,5,1,21
3305.96,5,0,6,0,21
3306.1,7,0,4,0,21
3308.15,10,0,1,0,21
3312.06,11,0,0,0,21
3318.43,9,2,0,0,21
3326.42,9,2,0,1,20
3326.42,8,3,0,1,20
3329.98,8,3,0,3,18
3329.98,8,3,0,5,16
3329.98,8,3,0,3,18
3332.02,8,3,0,5,16
3336.58,8,3,0,7,14
3337.63,8,3,0,9,12
3342.06,8,3,0,8,13
3356.93,8,3,0,4,17
3359.32,8,3,0,5,16
3360,8,3,4,1,16
3366.1,12,3,0,1,16
3419.9,12,3,0,0,17
3425.17,12,3,0,2,15
3425.17,12,3,0,0,17
3430.57,12,3,0,1,16
3450.93,12,3,0,3,14
3450.93,12,3,0,1,16
3465.66,12,3,0,0,17
3469.95,12,1,0,2,17
3474.92,12,1,0,3,16
3477.41,12,1,0,5,14
3477.94,12,0,0,6,14
3480,11,1,0,6,14
3487.25,11,1,0,8,12
3487.25,11,1,0,0,20
3496.81,11,1,0,8,12
3496.81,11,1,0,4,16
3496.81,11,1,0,0,20
3619.11,11,1,0,1,19
3631.52,11,0,0,2,19
3631.52,11,0,0,0,21
3647.46,11,0,0,4,17
3647.46,11,0,0,0,21
3658,11,0,0,2,19
3658,11,0,0,0,21
3660,10,1,0,0,21
3664.15,10,1,0,4,17
3664.15,10,1,0,3,18
3664.15,10,1,0,1,20
3699.89,10,1,0,2,19
3720.08,10,1,0,4,17
3726.23,10,1,0,6,15
3750.51,10,1,0,8,13
3750.51,10,1,0,0,21
3752.66,10,1,0,1,20
3760.08,10,1,0,9,12
3760.08,10,1,0,7,14
3760.08,10,1,0,6,15
3760.08,10,1,0,4,17
3760.08,10,1,0,2,19
3760.08,10,1,0,0,21
3778.72,10,1,0,2,19
3778.72,10,1,0,1,20
3778.72,10,1,0,0,21
3787.34,10,1,0,4,17
3787.34,10,1,0,8,13
3787.34,10,1,0,4,17
3787.34,10,1,0,0,21
3811.52,10,0,0,1,21
3811.52,10,0,0,0,22
3820.78,10,0,0,1,21
3867.23,10,0,0,2,20
3867.23,10,0,0,0,22
3875.03,10,0,0,4,18
3875.03,10,0,0,2,20
3890.52,10,0,0,4,18
3890.52,10,0,0,0,22
3901.03,10,0,0,2,20
3901.03,10,0,0,4,18
3901.03,10,0,0,6,16
3901.03,10,0,0,4,18
3901.03,10,0,0,0,22
3905.02,10,0,0,4,18
3905.02,10,0,0,0,22
