method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x;nbiter;pytimeit
detailed_utilisation;jobs.csv;cebbabb56326;25;0;0;0;0;354544;32;101%;102995;0.84;39.34;0;0;4096;443;39.56;0;0;0;0;0;52;0;30;38.66061223321594
free_slots;jobs.csv;cebbabb56326;25;0;0;0;0;487012;32;100%;143918;0.79;74.46;0;0;4096;376;74.73;0;0;0;0;0;52;0;30;73.76673030410893
detailed_utilisation;jobs.csv;cebbabb56326;26;0;0;0;0;355220;32;101%;102897;0.76;40.02;0;0;4096;302;40.15;0;0;0;0;0;43;0;30;39.24073013314046
free_slots;jobs.csv;cebbabb56326;26;0;0;0;0;487860;32;100%;142568;0.82;71.04;0;0;4096;393;71.25;0;0;0;0;0;52;0;30;70.31253544893116
detailed_utilisation;jobs.csv;cebbabb56326;27;0;0;0;0;355356;32;101%;103293;0.80;37.87;0;0;4096;159;38.03;0;0;0;0;0;49;0;30;37.183448849013075
free_slots;jobs.csv;cebbabb56326;27;0;0;0;0;487636;32;100%;143457;0.92;70.44;0;0;4096;409;70.73;0;0;0;0;0;49;0;30;69.84328841185197
detailed_utilisation;jobs.csv;cebbabb56326;28;0;0;0;0;355288;32;101%;103109;0.79;41.76;0;0;4096;256;41.93;0;0;0;0;0;42;0;30;41.069452536990866
free_slots;jobs.csv;cebbabb56326;28;0;0;0;0;487684;32;100%;142552;0.92;78.77;0;0;4096;479;79.11;0;0;0;0;0;52;0;30;78.11697413912043
detailed_utilisation;jobs.csv;cebbabb56326;29;0;0;0;0;355328;32;101%;102848;0.69;42.24;0;0;4096;199162;42.39;0;0;0;0;0;49;0;30;41.453674650983885
free_slots;jobs.csv;cebbabb56326;29;0;0;0;0;487088;32;100%;145984;0.92;80.13;0;0;4096;366;80.49;0;0;0;0;0;55;0;30;79.47431451804005
detailed_utilisation;jobs.csv;cebbabb56326;30;0;0;0;0;355776;32;101%;102997;0.82;41.85;0;0;4096;175;42.11;0;0;0;0;0;50;0;30;41.1517692161724
free_slots;jobs.csv;cebbabb56326;30;0;0;0;0;487112;32;100%;146220;0.92;78.61;0;0;4096;403;78.95;0;0;0;0;0;43;0;30;77.9545467318967
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;1;0;0;0;0;1526456;32;100%;394515;1.23;109.46;0;0;4096;482;110.15;0;0;0;0;0;50;0;30;108.9162189969793
free_slots;batsim_out_jobs.csv;cebbabb56326;1;0;0;0;0;2548904;32;100%;661432;1.78;215.77;0;0;4096;1054;217.00;0;0;0;0;0;44;0;30;215.53615252487361
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;2;0;0;0;0;1527528;32;100%;394665;1.29;107.60;0;0;4096;274;108.35;0;0;0;0;0;41;0;30;107.12167162587866
free_slots;batsim_out_jobs.csv;cebbabb56326;2;0;0;0;0;2547604;32;100%;663500;1.70;213.43;0;0;4096;806;214.54;0;0;0;0;0;50;0;30;213.15290911588818
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;3;0;0;0;0;1528716;32;100%;395036;1.20;106.11;0;0;4096;357;106.68;0;0;0;0;0;49;0;30;105.49219418084249
free_slots;batsim_out_jobs.csv;cebbabb56326;3;0;0;0;0;2548808;32;100%;658245;1.88;215.60;0;0;4096;670;216.88;0;0;0;0;0;52;0;30;215.50007292581722
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;4;0;0;0;0;1528896;32;100%;392024;1.20;106.78;0;0;4096;282;107.40;0;0;0;0;0;51;0;30;106.17241172492504
free_slots;batsim_out_jobs.csv;cebbabb56326;4;0;0;0;0;2547940;32;100%;657984;1.78;213.43;0;0;4096;739;214.57;0;0;0;0;0;39;0;30;213.22840289003216
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;5;0;0;0;0;1530220;32;100%;393165;1.08;102.50;0;0;4096;434;102.99;0;0;0;0;0;46;0;30;101.81046798499301
free_slots;batsim_out_jobs.csv;cebbabb56326;5;0;0;0;0;2549188;32;100%;665013;1.80;205.48;0;0;4096;36203;206.73;0;0;0;0;0;48;0;30;205.3901658281684
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;6;0;0;0;0;1528148;32;100%;393586;1.24;102.87;0;0;4096;390;103.47;0;0;0;0;0;50;0;30;102.33652710588649
free_slots;batsim_out_jobs.csv;cebbabb56326;6;0;0;0;0;2547868;32;100%;662338;1.64;214.99;0;0;4096;864;216.07;0;0;0;0;0;51;0;30;214.66022735112347
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;7;0;0;0;0;1528692;32;100%;395188;1.30;107.30;0;0;4096;457;108.02;0;0;0;0;0;36;0;30;106.7854587379843
free_slots;batsim_out_jobs.csv;cebbabb56326;7;0;0;0;0;2549252;32;100%;657434;1.71;208.43;0;0;4096;1091;209.56;0;0;0;0;0;47;0;30;208.19890001695603
detailed_utilisation;batsim_out_jobs.csv;cebbabb56326;8;0;0;0;0;1528048;32;100%;391976;1.30;104.57;0;0;4096;287;105.25;0;0;0;0;0;35;0;30;104.12764844694175
free_slots;batsim_out_jobs.csv;cebbabb56326;8;0;0;0;0;2547632;32;100%;657828;1.87;210.40;0;0;4096;608;211.62;0;0;0;0;0;47;0;30;210.27871170500293
