method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x;nbiter;pytimeit
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;1;0;0;0;0;1530436;32;100%;395308;1.16;101.58;0;0;4096;405;102.17;0;0;0;0;0;52;0;30;101.03942823596299
free_slots;batsim_out_jobs.csv;484e302528a6;1;0;0;0;0;2551296;32;100%;658513;1.71;196.45;0;0;4096;364;197.53;0;0;0;0;0;45;0;30;196.20643006800674
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;2;0;0;0;0;1529476;32;100%;395502;1.21;100.62;0;0;4096;565;101.27;0;0;0;0;0;52;0;30;100.09432869404554
free_slots;batsim_out_jobs.csv;484e302528a6;2;0;0;0;0;2554048;32;100%;660364;1.67;200.55;0;0;4096;754;201.63;0;0;0;0;0;49;0;30;200.29832623479888
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;3;0;0;0;0;1530056;32;100%;396287;1.20;99.68;0;0;4096;266;100.25;0;0;0;0;0;41;0;30;99.13584165205248
free_slots;batsim_out_jobs.csv;484e302528a6;3;0;0;0;0;2556680;32;100%;660991;1.76;201.08;0;0;4096;663;202.21;0;0;0;0;0;41;0;30;200.86625994881615
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;4;0;0;0;0;1529868;32;100%;396448;1.16;99.20;0;0;4096;265;99.77;0;0;0;0;0;51;0;30;98.60440588509664
free_slots;batsim_out_jobs.csv;484e302528a6;4;0;0;0;0;2553088;32;100%;660175;1.64;197.10;0;0;4096;639;198.10;0;0;0;0;0;49;0;30;196.793046729872
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;5;0;0;0;0;1533092;32;100%;396364;1.26;100.14;0;0;4096;278;100.76;0;0;0;0;0;43;0;30;99.60806627594866
free_slots;batsim_out_jobs.csv;484e302528a6;5;0;0;0;0;2551632;32;100%;658536;1.66;204.71;0;0;4096;496;205.82;0;0;0;0;0;51;0;30;204.38412780407816
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;6;0;0;0;0;1528496;32;100%;395064;1.03;96.34;0;0;4096;405;96.80;0;0;0;0;0;46;0;30;95.7010894799605
free_slots;batsim_out_jobs.csv;484e302528a6;6;0;0;0;0;2554092;32;100%;659771;1.62;190.22;0;0;4096;344;191.20;0;0;0;0;0;41;0;30;189.92437724303454
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;7;0;0;0;0;1532536;32;100%;395439;1.24;98.74;0;0;4096;277;99.39;0;0;0;0;0;53;0;30;98.24548136210069
free_slots;batsim_out_jobs.csv;484e302528a6;7;0;0;0;0;2555660;32;100%;660319;1.74;197.10;0;0;4096;648;198.25;0;0;0;0;0;46;0;30;196.93912797095254
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;8;0;0;0;0;1533504;32;100%;395443;1.16;97.59;0;0;4096;481;98.15;0;0;0;0;0;53;0;30;97.03017356805503
free_slots;batsim_out_jobs.csv;484e302528a6;8;0;0;0;0;2551836;32;100%;659558;1.46;188.33;0;0;4096;215886;189.26;0;0;0;0;0;44;0;30;187.9604401360266
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;9;0;0;0;0;1532772;32;100%;397840;1.23;93.67;0;0;4096;259;94.24;0;0;0;0;0;42;0;30;93.18849561107345
free_slots;batsim_out_jobs.csv;484e302528a6;9;0;0;0;0;2556572;32;100%;661615;1.35;185.60;0;0;4096;287;186.28;0;0;0;0;0;43;0;30;185.04609386320226
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;10;0;0;0;0;1529696;32;100%;394461;1.09;93.22;0;0;4096;173;93.63;0;0;0;0;0;50;0;30;92.58318063709885
free_slots;batsim_out_jobs.csv;484e302528a6;10;0;0;0;0;2549204;32;100%;658291;1.50;186.63;0;0;4096;309;187.47;0;0;0;0;0;41;0;30;186.26621095091105
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;11;0;0;0;0;1528148;32;100%;394886;1.24;94.78;0;0;4096;1160;95.40;0;0;0;0;0;50;0;30;94.34078976488672
free_slots;batsim_out_jobs.csv;484e302528a6;11;0;0;0;0;2552300;32;100%;659211;1.49;187.74;0;0;4096;305;188.65;0;0;0;0;0;52;0;30;187.3518223199062
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;12;0;34;2712;0;1532152;32;100%;397783;1.11;93.13;0;0;4096;192;93.62;0;0;0;0;0;88;0;30;92.54697628691792
free_slots;batsim_out_jobs.csv;484e302528a6;12;0;0;0;0;2551260;32;100%;658939;1.57;186.02;0;0;4096;1973;186.97;0;0;0;0;0;49;0;30;185.7302639868576
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;13;0;0;0;0;1530588;32;100%;395333;1.14;91.68;0;0;4096;183;92.16;0;0;0;0;0;53;0;30;91.1450507431291
free_slots;batsim_out_jobs.csv;484e302528a6;13;0;0;0;0;2552628;32;100%;660729;1.47;183.87;0;0;4096;296;184.70;0;0;0;0;0;42;0;30;183.47563755395822
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;14;0;1;152;0;1532892;32;100%;397980;1.16;95.02;0;0;4096;323;95.52;0;0;0;0;0;44;0;30;94.46231225994416
free_slots;batsim_out_jobs.csv;484e302528a6;14;0;0;0;0;2552412;32;100%;658503;1.66;185.62;0;0;4096;294;186.61;0;0;0;0;0;42;0;30;185.37960872496478
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;15;0;0;0;0;1531552;32;100%;394450;1.26;94.60;0;0;4096;155;95.19;0;0;0;0;0;42;0;30;94.12733298307285
free_slots;batsim_out_jobs.csv;484e302528a6;15;0;0;0;0;2555280;32;100%;661258;1.42;183.19;0;0;4096;324;183.94;0;0;0;0;0;47;0;30;182.70474409521557
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;16;0;0;0;0;1528132;32;100%;396877;1.23;92.84;0;0;4096;185;93.40;0;0;0;0;0;44;0;30;92.38657131418586
free_slots;batsim_out_jobs.csv;484e302528a6;16;0;0;0;0;2552672;32;100%;659616;1.60;183.45;0;0;4096;290;184.39;0;0;0;0;0;33;0;30;183.17644210299477
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;17;0;0;0;0;1530140;32;100%;395869;1.12;93.57;0;0;4096;516;94.04;0;0;0;0;0;50;0;30;93.0006632108707
free_slots;batsim_out_jobs.csv;484e302528a6;17;0;0;0;0;2551648;32;100%;660216;1.44;183.20;0;0;4096;384;184.04;0;0;0;0;0;46;0;30;182.75192520208657
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;18;0;0;0;0;1526684;32;100%;393860;1.15;95.49;0;0;4096;210;95.97;0;0;0;0;0;54;0;30;94.9006001430098
free_slots;batsim_out_jobs.csv;484e302528a6;18;0;0;0;0;2553092;32;100%;659555;1.59;182.74;0;0;4096;925;183.67;0;0;0;0;0;46;0;30;182.43864274118096
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;19;0;0;0;0;1529536;32;100%;393915;1.16;93.69;0;0;4096;161;94.19;0;0;0;0;0;49;0;30;93.14303021901287
free_slots;batsim_out_jobs.csv;484e302528a6;19;0;0;0;0;2551908;32;100%;659285;1.56;185.71;0;0;4096;290;186.60;0;0;0;0;0;51;0;30;185.37753218505532
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;20;0;0;0;0;1528672;32;100%;394561;1.20;94.08;0;0;4096;163;94.61;0;0;0;0;0;48;0;30;93.5556682148017
free_slots;batsim_out_jobs.csv;484e302528a6;20;0;0;0;0;2550732;32;100%;659987;1.43;185.43;0;0;4096;286;186.27;0;0;0;0;0;45;0;30;184.99400170403533
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;21;0;0;0;0;1530460;32;100%;394520;1.33;94.51;0;0;4096;181;95.18;0;0;0;0;0;49;0;30;94.11833276902325
free_slots;batsim_out_jobs.csv;484e302528a6;21;0;0;0;0;2553108;32;100%;660448;1.48;183.77;0;0;4096;291;184.59;0;0;0;0;0;40;0;30;183.37668509501964
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;22;0;0;0;0;1531116;32;100%;395646;1.15;94.59;0;0;4096;173;95.11;0;0;0;0;0;42;0;30;94.07534585613757
free_slots;batsim_out_jobs.csv;484e302528a6;22;0;0;0;0;2549940;32;100%;659932;1.50;184.26;0;0;4096;275;185.10;0;0;0;0;0;53;0;30;183.85036618402228
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;23;0;0;0;0;1530640;32;100%;394401;1.24;93.64;0;0;4096;430;94.21;0;0;0;0;0;52;0;30;93.12244629184715
free_slots;batsim_out_jobs.csv;484e302528a6;23;0;0;0;0;2551032;32;100%;659016;1.43;186.89;0;0;4096;234279;187.75;0;0;0;0;0;48;0;30;186.42125694500282
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;24;0;0;0;0;1531712;32;100%;396050;1.21;95.82;0;0;4096;282;96.38;0;0;0;0;0;50;0;30;95.28187520313077
free_slots;batsim_out_jobs.csv;484e302528a6;24;0;0;0;0;2554280;32;100%;659844;1.58;186.40;0;0;4096;355;187.39;0;0;0;0;0;50;0;30;186.07072440814227
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;25;0;0;0;0;1529244;32;100%;393901;1.30;93.25;0;0;4096;160;93.88;0;0;0;0;0;51;0;30;92.80654047382995
free_slots;batsim_out_jobs.csv;484e302528a6;25;0;0;0;0;2554628;32;100%;661632;1.30;187.39;0;0;4096;1639;188.05;0;0;0;0;0;51;0;30;186.81399621092714
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;26;0;0;0;0;1536036;32;100%;397359;1.26;95.20;0;0;4096;395;95.80;0;0;0;0;0;47;0;30;94.72535596601665
free_slots;batsim_out_jobs.csv;484e302528a6;26;0;0;0;0;2551728;32;100%;659280;1.56;187.80;0;0;4096;302;188.68;0;0;0;0;0;49;0;30;187.39185095601715
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;27;0;0;0;0;1533360;32;100%;395706;1.08;93.83;0;0;4096;190;94.32;0;0;0;0;0;46;0;30;93.22957461210899
free_slots;batsim_out_jobs.csv;484e302528a6;27;0;0;0;0;2553028;32;100%;660999;1.53;188.37;0;0;4096;1108;189.26;0;0;0;0;0;51;0;30;187.9403791811783
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;28;0;0;0;0;1531324;32;100%;397712;1.18;93.28;0;0;4096;372;93.86;0;0;0;0;0;48;0;30;92.74737291992642
free_slots;batsim_out_jobs.csv;484e302528a6;28;0;0;0;0;2554376;32;100%;660630;1.55;185.98;0;0;4096;299;186.87;0;0;0;0;0;47;0;30;185.5857966931071
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;29;0;0;0;0;1532752;32;100%;396320;1.18;95.80;0;0;4096;204;96.39;0;0;0;0;0;39;0;30;95.23512085108086
free_slots;batsim_out_jobs.csv;484e302528a6;29;0;0;0;0;2554348;32;100%;659037;1.48;184.87;0;0;4096;1411;185.82;0;0;0;0;0;45;0;30;184.47246002987958
detailed_utilisation;batsim_out_jobs.csv;484e302528a6;30;0;0;0;0;1534872;32;100%;395929;1.24;106.36;0;0;4096;273;107.01;0;0;0;0;0;43;0;30;105.7652986550238
free_slots;batsim_out_jobs.csv;484e302528a6;30;0;0;0;0;2555856;32;100%;660019;2.03;223.97;0;0;4096;182517;225.47;0;0;0;0;0;52;0;30;223.87882135086693
