method;trace;commit;id;D;F;I;K;M;O;P;R;S;U;W;X;Z;c;e;k;p;r;s;t;w;x
gantt;batsim_out_jobs.csv;40c67da4ccf8;1;0;0;0;0;150520;32;134%;41483;1.24;3.83;0;0;4096;369;3.76;0;0;0;0;0;368;0
load;batsim_out_jobs.csv;40c67da4ccf8;1;0;0;0;0;167492;32;123%;44610;1.10;4.99;0;0;4096;432036;4.94;0;0;0;0;0;361;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;2;0;0;0;0;150856;32;134%;41410;1.19;3.77;0;0;4096;220229;3.69;0;0;0;0;0;375;0
load;batsim_out_jobs.csv;40c67da4ccf8;2;0;0;0;0;166856;32;122%;44775;1.27;5.08;0;0;4096;220229;5.19;0;0;0;0;0;364;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;3;0;0;0;0;150580;32;134%;41397;1.20;3.76;0;0;4096;434683;3.69;0;0;0;0;0;352;0
load;batsim_out_jobs.csv;40c67da4ccf8;3;0;0;0;0;166980;32;120%;44528;1.10;5.59;0;0;4096;156388;5.54;0;0;0;0;0;357;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;4;0;0;0;0;150632;32;127%;41338;2.16;4.02;0;0;4096;180044;4.86;0;0;0;0;0;364;0
load;batsim_out_jobs.csv;40c67da4ccf8;4;0;0;0;0;166844;32;123%;44632;1.17;4.96;0;0;4096;98;4.97;0;0;0;0;0;363;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;5;0;0;0;0;150584;32;130%;41393;1.10;3.90;0;0;4096;437223;3.83;0;0;0;0;0;368;0
load;batsim_out_jobs.csv;40c67da4ccf8;5;0;0;0;0;167520;32;122%;44690;1.09;5.06;0;0;4096;432788;5.02;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;6;0;0;0;0;150204;32;129%;41390;2.23;4.00;0;0;4096;293;4.81;0;0;0;0;0;360;0
load;batsim_out_jobs.csv;40c67da4ccf8;6;0;0;0;0;167024;32;120%;44720;1.14;5.96;0;0;4096;101;5.90;0;0;0;0;0;366;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;7;0;0;0;0;150776;32;136%;41347;1.27;3.82;0;0;4096;90;3.74;0;0;0;0;0;355;0
load;batsim_out_jobs.csv;40c67da4ccf8;7;0;0;0;0;167444;32;123%;44617;1.14;5.03;0;0;4096;432485;5.01;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;8;0;0;0;0;150652;32;134%;41372;1.23;3.75;0;0;4096;219863;3.70;0;0;0;0;0;363;0
load;batsim_out_jobs.csv;40c67da4ccf8;8;0;0;0;0;167240;32;123%;44727;1.12;5.00;0;0;4096;149062;4.96;0;0;0;0;0;358;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;9;0;0;0;0;150752;32;135%;41271;1.26;3.79;0;0;4096;154756;3.74;0;0;0;0;0;367;0
load;batsim_out_jobs.csv;40c67da4ccf8;9;0;0;0;0;167448;32;123%;44587;1.08;5.03;0;0;4096;220252;4.96;0;0;0;0;0;368;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;10;0;0;0;0;150444;32;136%;41291;1.29;3.78;0;0;4096;101;3.72;0;0;0;0;0;366;0
load;batsim_out_jobs.csv;40c67da4ccf8;10;0;0;0;0;167412;32;123%;44713;1.12;4.95;0;0;4096;99;4.91;0;0;0;0;0;363;0
gantt;batsim_out_jobs.csv;40c67da4ccf8;11;0;0;0;0;150604;32;136%;41576;1.26;3.84;0;0;4096;216795;3.75;0;0;0;0;0;369;0
