date,nb_jobs_in_queue,load_in_queue,liquid_load_horizon
2382.47,4,2280,304.063
2382.47,5,2424,310.92
2388.34,5,2424,305.052
2388.34,5,2424,305.052
2391.81,5,2424,301.585
2391.81,4,1256,249.611
2400,4,1256,212.283
2400,4,1256,241.418
2404.63,4,1256,236.788
2404.63,5,1868,265.93
2405.49,5,1868,265.074
2405.49,5,1868,258.036
2438.44,5,1868,226.726
2438.44,6,2780,272.326
2444.32,6,2780,266.744
2444.32,5,2596,260.152
2450.51,5,2596,254.268
2450.51,4,2268,233.791
2453.4,4,2268,231.036
2453.4,5,3180,272.49
2459.23,5,3180,266.923
2459.23,6,3614,286.65
2467.2,6,3614,279.048
2467.2,5,3470,267.172
2470.8,5,3470,264.06
2470.8,5,3470,258.104
2472.52,5,3470,256.778
2472.52,3,2258,247.218
2472.94,3,2258,246.818
2472.94,4,4050,328.249
2473.81,4,4050,327.416
2473.81,3,3616,321.497
2482.08,3,3616,313.596
2482.08,2,2704,289.802
2497.09,2,2704,275.48
2497.09,3,3920,329.373
2505.24,3,3920,321.562
2505.24,2,2128,258.064
2512.16,2,2128,251.486
2512.16,3,2272,258.686
2524.36,3,2272,247.099
2524.36,4,2676,267.299
2526.39,4,2676,265.37
2526.39,5,3261,293.651
2530.88,5,3261,289.372
2530.88,4,2349,279.01
2534.18,4,2349,275.871
2534.18,3,2205,260.128
2536.55,3,2205,258.116
2536.55,3,2205,261.866
2540.79,3,2205,258.049
2540.79,2,1801,251.51
2545.8,2,1801,246.494
2545.8,2,1801,243.206
2560.21,2,1801,229.525
2560.21,1,1216,197.066
2562.48,1,1216,195.273
2562.48,1,1216,199.22
2571.73,1,1216,191.425
2571.73,1,1216,187.965
2576.72,1,1216,184.028
2576.72,1,1216,170.33
2578.74,1,1216,169.16
2578.74,2,1544,186.424
2579.68,2,1544,185.878
2579.68,1,328,97.5254
2590.03,1,328,87.1794
2590.03,0,0,0
2598.7,0,0,0
2598.7,0,0,0
2602.03,0,0,0
2602.03,0,0,0
2604.28,0,0,0
2604.28,1,256,141.137
2606.71,1,256,138.704
2606.71,0,0,0
2608.13,0,0,0
2608.13,0,0,0
2612.81,0,0,0
2612.81,0,0,0
2614.76,0,0,0
2614.76,0,0,0
2614.99,0,0,0
2614.99,1,256,238.829
2618.28,1,256,235.536
2618.28,2,400,215.18
2620.86,2,400,212.602
2620.86,2,400,193.433
2623.39,2,400,190.9
2623.39,2,400,170.973
2623.61,2,400,170.769
2623.61,3,2592,303.386
2644.56,3,2592,283.599
2644.56,4,4384,367.306
2648,4,4384,364.012
2648,3,4128,350.511
2649.29,3,4128,349.22
2649.29,2,3984,408.772
2649.29,2,3984,379.793
2650.01,2,3984,379.17
2650.01,3,4312,397.854
2655.28,3,4312,392.974
2655.28,4,4640,405.122
2655.66,4,4640,404.774
2655.66,4,4640,399.404
2655.9,4,4640,399.186
2655.9,3,4312,394.343
2662.39,3,4312,388.093
2662.39,4,6104,454.464
2668.79,4,6104,448.301
2668.79,4,6104,443.418
2671.15,4,6104,441.326
2671.15,5,6538,457.4
2672.59,5,6538,456.119
2672.59,4,6210,446.443
2689.27,4,6210,431.612
2689.27,4,6210,421.936
2689.85,4,6210,421.509
2689.85,5,7378,464.432
2700,5,7378,376.063
2700,5,7378,456.818
2710.08,5,7378,449.255
2710.08,4,5186,387.855
2714.04,4,5186,384.057
2714.04,5,5730,405.817
2723,5,5730,397.219
2723,6,5914,404.579
2739.6,6,5914,388.641
2739.6,7,6058,394.401
2754.56,7,6058,380.042
2754.56,8,6492,397.142
2763.15,8,6492,388.879
2763.15,9,6636,394.418
2766.51,9,6636,391.19
2766.51,8,4844,347.074
2768.72,8,4844,344.957
2768.72,7,3052,277.853
2769.8,7,3052,276.774
2769.8,6,2618,307.734
2772.38,6,2618,305.38
2772.38,6,2618,304.427
2774.91,6,2618,302.555
2774.91,5,1450,287.196
2777.49,5,1450,284.617
2777.49,6,1594,291.162
2781.01,6,1594,287.642
2781.01,6,1594,287.642
