time,machine_id,new_pstate
10514,11-12 15-16,-1
10516,17 24 29 31,-1
10621.7,9-10,0
10625.5,3-4,0
10627.6,0-1,0
10665.5,11-12 15-16,0
10667.5,17 24 29 31,0
10671.5,16-17 24 29,-2
10672.1,12 15,-2
10674.8,11,-2
10677.6,16-17 24 29,13
10677.6,16,-1
10678.2,12 15,13
10678.2,12,-1
10680.9,11,13
10680.9,11,-1
10682.4,15 17,-1
10691.2,24 29,-1
10829.1,16,0
10829.7,12,0
10832.4,11,0
10833.9,15 17,0
10842.7,24 29,0
10842.7,11-12 24 28-29,-2
10848.8,11-12 24 28-29,13
10855.6,16 30,-2
10861.7,16 30,13
10884.5,18,-2
10890.6,18,13
10918.5,2 6-7 19,-2
10924.6,2 6-7 19,13
10932,20-21,-2
10938.1,20-21,13
10950,3-4 25-26,-2
10956.1,3-4 25-26,13
10982.4,13,-2
10988.5,13,13
11032.1,5 14,-2
11038.2,5 14,13
11054,31,-2
11060.1,31,13
11099.7,15 17,-2
11105.8,15 17,13
11146.9,8 27,-2
11153,8 27,13
11225.2,0-1,-2
11231.3,0-1,13
11367.2,22-23,-2
11367.2,9-10,-2
11373.3,22-23,13
11373.3,9-10,13
16000,0,-1
16000,1,-1
16151.5,0,0
16151.5,1,0
16151.5,1,-2
16157.6,1,13
16240,0,-2
16246.1,0,13
